Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
0.3434549,31744,0.31704941,7680,1.32,7/12/2022,15:24:00
0.32263724,31744,0.33040039,7680,1.32,7/12/2022,15:25:00
0.32820719,31744,0.30623569,7680,1.32,7/12/2022,15:25:00
0.28154913,31744,0.2881646,7680,1.34,7/12/2022,15:26:00
0.26961824,31744,0.29749552,7680,1.34,7/12/2022,15:27:00
0.28477156,31744,0.30746195,7680,1.34,7/12/2022,15:27:00
0.29068139,31744,0.29328787,7680,1.34,7/12/2022,15:28:00
0.26897108,31744,0.27552019,7680,1.32,7/12/2022,15:29:00
0.2470098,31744,0.26674501,7680,1.34,7/12/2022,15:29:00
0.24231524,31744,0.26255538,7680,1.32,7/12/2022,15:30:00
0.23488905,31744,0.26101402,7680,1.3,7/12/2022,15:31:00
0.22346039,31744,0.25532434,7680,1.32,7/12/2022,15:31:00
0.21793694,31744,0.25523061,7680,1.34,7/12/2022,15:32:00
0.2074603,31744,0.25346742,7680,1.32,7/12/2022,15:33:00
0.20456954,31744,0.27101935,7680,1.3,7/12/2022,15:33:00
0.20265276,31744,0.27671479,7680,1.3,7/12/2022,15:34:00
0.19899793,31744,0.23485517,7680,1.41,7/12/2022,15:35:00
0.18739669,31744,0.24670802,7680,1.42,7/12/2022,15:41:00
0.17500331,31744,0.24458297,7680,1.32,7/12/2022,15:41:00
0.16572009,31744,0.24469416,7680,1.34,7/12/2022,15:42:00
0.15574327,31744,0.24934943,7680,1.32,7/12/2022,15:43:00
0.16589906,31744,0.2435607,7680,1.4,7/12/2022,15:46:00
